v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains although,v13 contains however,v14 contains but,v15 contains because,v16 contains this,v17 contains others or researchers,v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains et,word variation,average token length,non alphabetic characters frequency,uncommon word frequency,non-alphabetic characters frequency,numeric value frequency,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_pp,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
2,19,False,False,False,False,False,0.5,1.0,True,False,False,False,True,False,False,False,False,False,False,0.8421052631578947,2.9473684210526314,0.3157894736842105,0.7894736842105263,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0526315789473684,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0526315789473684,0.1052631578947368,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0
5,76,False,False,True,True,True,11.98999582985749,10.0,True,False,False,False,True,False,False,False,False,False,False,0.6973684210526315,3.8026315789473686,0.2105263157894736,0.6447368421052632,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0394736842105263,0.0263157894736842,0.0657894736842105,0.0131578947368421,0.0921052631578947,0.0,0.0,0.1052631578947368,0.0657894736842105,0.0131578947368421,0.0,0.0,0.0,0.1842105263157894,0.0263157894736842,0.0,0.0,0.0,0.0131578947368421,0.0394736842105263,0.0,0.1052631578947368,0.0,0.0,0.0131578947368421,0.0,0.0,0.0,0.0131578947368421,0.0789473684210526,0.0131578947368421,0.0263157894736842,0.0,0.0,0.0131578947368421,0.0,0.0,0.0,0.0
1,48,False,False,True,False,False,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,0.7916666666666666,3.333333333333333,0.1458333333333333,0.5416666666666666,0.1458333333333333,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.0208333333333333,0.0416666666666666,0.0416666666666666,0.0208333333333333,0.125,0.0208333333333333,0.0,0.1666666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.0208333333333333,0.0,0.0208333333333333,0.0,0.0,0.0416666666666666,0.0208333333333333,0.0416666666666666,0.0,0.0,0.0,0.0,0.0208333333333333,0.0,0.0208333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,0.6842105263157895,3.0526315789473686,0.3684210526315789,0.631578947368421,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.1052631578947368,0.0,0.0,0.0,0.1052631578947368,0.2105263157894736,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,46,False,False,False,False,False,8.0,16.0,False,False,False,False,False,True,False,False,False,True,False,0.7391304347826086,3.869565217391304,0.3043478260869565,0.6086956521739131,0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.108695652173913,0.0217391304347826,0.0,0.0,0.0,0.0434782608695652,0.0,0.0,0.0869565217391304,0.0434782608695652,0.0,0.0,0.0,0.0217391304347826,0.1304347826086956,0.0652173913043478,0.0,0.0,0.0217391304347826,0.0,0.0869565217391304,0.0217391304347826,0.0652173913043478,0.0,0.0,0.0217391304347826,0.0,0.0217391304347826,0.0,0.0652173913043478,0.0217391304347826,0.0,0.0217391304347826,0.0217391304347826,0.0,0.0,0.0,0.0,0.108695652173913,0.0
2,24,False,True,False,True,False,3.0,6.0,True,False,False,False,False,False,False,False,False,False,False,0.875,3.2916666666666665,0.4166666666666667,0.6666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0,0.0,0.0833333333333333,0.0416666666666666,0.0,0.0416666666666666,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0833333333333333,0.0,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0
4,50,False,False,False,False,False,4.387482193696061,5.666666666666667,True,False,False,False,False,False,True,False,False,False,False,0.86,3.8,0.22,0.64,0.22,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.0,0.02,0.0,0.1,0.0,0.0,0.12,0.06,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.02,0.0,0.0,0.02,0.06,0.06,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.02,0.04,0.0,0.04,0.02,0.0,0.02,0.0,0.0,0.0
1,13,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,1.0,4.153846153846154,0.0769230769230769,0.6923076923076923,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0769230769230769,0.0,0.1538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.0,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0
3,58,False,False,False,False,False,3.39934634239519,4.0,False,False,False,False,False,False,False,False,False,False,False,0.8103448275862069,3.2413793103448274,0.1896551724137931,0.5,0.1896551724137931,0.0,0.0,0.0,0.0,0.0,0.0517241379310344,0.0344827586206896,0.0,0.0344827586206896,0.0172413793103448,0.0862068965517241,0.0172413793103448,0.0,0.1379310344827586,0.0172413793103448,0.0,0.0,0.0,0.0172413793103448,0.1551724137931034,0.0344827586206896,0.0,0.0344827586206896,0.0,0.0,0.0862068965517241,0.0344827586206896,0.0517241379310344,0.0,0.0,0.0344827586206896,0.0,0.0,0.0,0.0172413793103448,0.0517241379310344,0.0,0.0,0.0344827586206896,0.0344827586206896,0.0172413793103448,0.0,0.0,0.0,0.0
1,17,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.9411764705882352,3.5294117647058822,0.4117647058823529,0.8235294117647058,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0588235294117647,0.1176470588235294,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0,0.2941176470588235,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0
1,19,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.8947368421052632,3.736842105263158,0.1052631578947368,0.631578947368421,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.1052631578947368,0.0,0.0526315789473684,0.0,0.0526315789473684,0.0,0.0,0.1578947368421052,0.1052631578947368,0.0,0.0,0.0,0.0,0.2105263157894736,0.1052631578947368,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,161,False,True,True,False,False,18.87385022252275,21.5,False,True,False,False,True,False,False,False,False,False,False,0.5900621118012422,3.7763975155279503,0.0993788819875776,0.5590062111801242,0.0993788819875776,0.0,0.0,0.0,0.0,0.0,0.0496894409937888,0.0186335403726708,0.031055900621118,0.031055900621118,0.0062111801242236,0.1304347826086956,0.0,0.0,0.1490683229813664,0.0807453416149068,0.0124223602484472,0.0,0.0,0.0,0.15527950310559,0.0124223602484472,0.0,0.0434782608695652,0.0,0.0,0.0186335403726708,0.0,0.0683229813664596,0.0186335403726708,0.0,0.0,0.0,0.0062111801242236,0.0,0.0062111801242236,0.062111801242236,0.0248447204968944,0.0434782608695652,0.0,0.0062111801242236,0.0062111801242236,0.0,0.0,0.0186335403726708,0.0
1,17,False,False,False,False,True,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.8823529411764706,2.764705882352941,0.5294117647058824,0.7058823529411765,0.5294117647058824,0.0,0.0,0.0588235294117647,0.0,0.0,0.1176470588235294,0.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0588235294117647,0.0,0.0,0.0,0.0,0.2352941176470588,0.1176470588235294,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,0.0,0.0,0.0
4,89,False,True,False,False,False,5.448623679425842,6.0,False,False,False,False,True,False,False,False,False,False,False,0.7191011235955056,3.8876404494382015,0.1123595505617977,0.6179775280898876,0.1123595505617977,0.0,0.0,0.0,0.0,0.0,0.0337078651685393,0.0449438202247191,0.0337078651685393,0.0786516853932584,0.0,0.0898876404494382,0.0,0.0,0.0786516853932584,0.0561797752808988,0.0,0.0,0.0,0.0,0.1685393258426966,0.0112359550561797,0.0,0.0337078651685393,0.0,0.0,0.0224719101123595,0.0449438202247191,0.0449438202247191,0.0,0.0,0.0112359550561797,0.0,0.0449438202247191,0.0,0.0224719101123595,0.0786516853932584,0.0337078651685393,0.0449438202247191,0.0,0.0112359550561797,0.0,0.0,0.0,0.0112359550561797,0.0
4,102,False,True,True,False,False,13.388427838995884,12.333333333333334,False,True,False,False,True,False,True,False,False,True,False,0.7254901960784313,3.686274509803922,0.196078431372549,0.5784313725490197,0.196078431372549,0.0,0.0,0.0,0.0,0.0,0.088235294117647,0.0294117647058823,0.0196078431372549,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0980392156862745,0.0294117647058823,0.0,0.0,0.0,0.0196078431372549,0.0686274509803921,0.0588235294117647,0.0,0.0,0.0,0.0,0.1176470588235294,0.0098039215686274,0.088235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.1078431372549019,0.0196078431372549,0.0392156862745098,0.0098039215686274,0.0,0.0098039215686274,0.0098039215686274,0.0,0.0196078431372549,0.0
1,16,False,False,False,False,False,0.0,0.0,False,False,False,False,True,False,False,False,False,True,False,0.9375,4.0,0.125,0.6875,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0,0.0625,0.0,0.0,0.125,0.1875,0.0,0.0,0.0,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16,False,False,False,True,False,2.0548046676563256,3.5,True,False,False,False,False,False,False,False,False,False,False,0.9375,2.875,0.4375,0.625,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
